transaction_id,bill_id,transaction_date,transaction_time,amount,state,transaction_type
TXN059,FAC2382,11/07/2024,23:00:00,37708,Complete,bill_payment
TXN060,FAC6022,20/07/2024,16:00:00,54969,Pending,bill_payment
TXN061,FAC3529,08/07/2024,23:00:00,51411,Complete,bill_payment
TXN062,FAC1856,2024-07-17 5:00:00,5:00:00,45233,Complete,bill_payment
TXN063,FAC5678,10/06/2024,1:00:00,99926,Failed,bill_payment
TXN064,FAC7474,20/06/2024,12:00:00,31572,Complete,bill_payment
TXN065,FAC9956,14/06/2024,3:00:00,123720,Pending,bill_payment
TXN066,FAC7570,29/07/2024,14:00:00,17171,Failed,bill_payment
TXN067,FAC2909,23/07/2024,9:00:00,56259,Failed,bill_payment
TXN068,FAC2139,20/06/2024,22:00:00,196548,Failed,bill_payment
TXN069,FAC8752,20/06/2024,18:00:00,93635,Complete,bill_payment
TXN070,FAC8107,15/07/2024,21:00:00,58585,Complete,bill_payment
TXN071,FAC7475,06/06/2024,18:00:00,86244,Complete,bill_payment
TXN072,FAC3660,18/07/2024,20:00:00,55572,Failed,bill_payment
TXN073,FAC9573,21/06/2024,6:00:00,50713,Failed,bill_payment
TXN074,FAC2238,29/06/2024,18:00:00,129480,Complete,bill_payment
TXN075,FAC6979,03/07/2024,20:00:00,41657,Complete,bill_payment
TXN076,FAC8740,15/06/2024,11:00:00,126084,Complete,bill_payment
TXN077,FAC9872,04/06/2024,7:00:00,190936,Failed,bill_payment
TXN078,FAC9634,21/06/2024,21:00:00,78561,Failed,bill_payment
TXN079,FAC9210,23/07/2024,11:00:00,162844,Complete,bill_payment
TXN080,FAC3888,29/06/2024,15:00:00,80235,Failed,bill_payment
TXN081,FAC7110,18/06/2024,0:00:00,158138,Pending,bill_payment
TXN082,FAC5649,06/06/2024,15:00:00,101593,Pending,bill_payment
TXN083,FAC1490,22/06/2024,3:00:00,103741,Pending,bill_payment
TXN084,FAC5439,04/07/2024,2:00:00,41300,Pending,bill_payment
TXN085,FAC4962,19/06/2024,11:00:00,89956,Complete,bill_payment
TXN086,FAC8801,13/07/2024,5:00:00,165402,Complete,bill_payment
TXN087,FAC1904,04/07/2024,9:00:00,106689,Pending,bill_payment
TXN088,FAC7503,14/06/2024,11:00:00,22411,Complete,bill_payment
TXN089,FAC7561,27/06/2024,5:00:00,11359,Pending,bill_payment
TXN090,FAC5390,08/06/2024,10:00:00,79808,Pending,bill_payment
TXN091,FAC1760,05/07/2024,21:00:00,42648,Pending,bill_payment
TXN092,FAC3395,03/06/2024,5:00:00,101468,Pending,bill_payment
TXN093,FAC1926,21/06/2024,17:00:00,115488,Pending,bill_payment
TXN094,FAC7521,26/07/2024,0:00:00,61920,Complete,bill_payment
TXN095,FAC6693,23/07/2024,20:00:00,141510,Failed,bill_payment
TXN096,FAC1513,08/07/2024,19:00:00,39792,Pending,bill_payment
TXN097,FAC3039,09/07/2024,5:00:00,87689,Complete,bill_payment
TXN098,FAC3709,06/07/2024,0:00:00,178739,Failed,bill_payment
TXN099,FAC3914,27/07/2024,10:00:00,105611,Failed,bill_payment
TXN100,FAC8875,11/07/2024,7:00:00,141787,Failed,bill_payment
